Iteration, Step, R, Theta, Kretchmann
1,0.,0.18183577450298388,0.,0.000045872101538736956
2,0.0002896314304292949,0.18182485464246942,4.2465898761889775e-6,0.00004588551042376331
3,0.0031859456735778297,0.18171565755955651,0.00004673948228095526,0.00004601984918403678
4,0.02465922519734838,0.18062383926073802,0.00047428678909433586,0.00004738858751405784
5,0.046683123795885906,0.17225637419989637,0.003920844163465276,0.000059613168008093135
6,0.06434769006175799,0.15647766472244182,0.011359474547164794,0.00009426109023379881
7,0.07683419957050562,0.13487217153434722,0.02414797505367794,0.00018796100778542053
8,0.08141532364835817,0.10937154093210802,0.04506843934796301,0.00047737316534453094
9,0.08089719322661887,0.08289468710103282,0.07840995940147266,0.0015084729306601558
10,0.06781839425205534,0.05753484486048023,0.1328263123832638,0.005862153773687681
11,0.04623105442953663,0.03758856631945036,0.21062972169629113,0.022312376019270018
12,0.03615090037756298,0.02518368544545717,0.2944982803629994,0.06138465477437071
13,0.029872248504177308,0.01654597577753275,0.38721635319479475,0.1395632301116811
14,0.02577940341796483,0.010400855553312195,0.4866831438362027,0.27032697026658337
15,0.02488454261632291,0.006036955734539835,0.5894056118701165,0.4535317550611988
16,0.022571097148600002,0.0028325821630768994,0.6987683667282081,0.6829937687863372
17,0.020900707332462458,0.0009124300601981578,0.7980368234630184,0.8840296512751579
18,0.015530321491194852,0.00004894780202914506,0.8801416350729045,0.9949192032222648
19,0.014883172217889458,0.,0.9296673594493576,1.
20,0.016143476636243617,0.00042990131362467127,0.9652403269013838,0.9400691645016498
21,0.016040388194082413,0.0014128770660451553,0.9896609892209884,0.8198849127978827
22,0.0153820702242315,0.0028994395696290004,1.,0.6712076554512547
23,0.013951437048199004,0.004772027820128803,0.998733058560358,0.526727641137212
24,0.01687028527660135,0.006819489322837914,0.9901308146980945,0.4085416729057193
25,0.018658675437748455,0.00969462760838384,0.972974051723595,0.2909293798390942
26,0.021661997077714972,0.013324723603049211,0.9486482886019463,0.19442903563728522
27,0.025136001688997524,0.018044814919781042,0.917176979122658,0.1194999329245541
28,0.02993165380347709,0.02408231404285069,0.8801534877334678,0.0675566987749302
29,0.03648131929301513,0.03189073551113236,0.8387254415449803,0.0347187234239386
30,0.0458155577511346,0.04209182100598774,0.7943449381006946,0.01604822604309938
31,0.05879619856679747,0.055660367734493746,0.7483662708627303,0.006567300850427556
32,0.07550669358932015,0.07389965212135284,0.7026299942142327,0.0023595263168053053
33,0.0971400442259887,0.09817733811293303,0.6596552285825581,0.0007563062221370388
34,0.12752811693265173,0.13024439514077624,0.6211284480579735,0.00022036563355433807
35,0.1710120408865851,0.17313639877117512,0.5873572598566792,0.00005818147082562601
36,0.2303178865318128,0.23139930079443782,0.5583419958777078,0.000013838535720127998
37,0.3060778115386576,0.3105428387512316,0.5342228328504621,3.0119397238893415e-6
38,0.40598325898120025,0.416293573548377,0.5149586692818211,6.213649228250432e-7
39,0.542339895339407,0.5570298487525204,0.499848654039841,1.2110446654396402e-7
40,0.7320758312432719,0.7454113901324454,0.4880643278686012,1.9835596966122875e-8
41,1.,1.,0.4789013433466831,0.
